题记序号,题记名称,时间,公元纪年,地点,窟位,造像者人数,性别,所造佛像名称,出资者,造像者身份表述,阶层,社邑组织,实践行为（一级编码）,实践行为（二级编码）,祈愿内容（一级编码）,祈愿内容（二级编码）,造像原因（一级编码）,造像原因（二级编码）,关联历史事件,经文,妆造类型,宗教类型,宗派倾向(主宗派倾向；副宗派倾向）,备注
226,大钟寺罗造像记,北宋,960-1127,重庆市大足区金山镇六合村大坝大钟寺第 40 号像,大钟寺第 40 号像,2,女,降龙罗汉像,罗□□、王氏,弟子,虔诚弟子(家庭合署),非社邑,庄严修饰、,妆銮彩绘,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],重妆,佛教,无法判定,
227,大钟寺第 43 号像造像记,北宋,960-1127,重庆市大足区金山镇六合村大坝大钟寺第 43 号像,大钟寺第 43 号像,「不详」,[不详],降卢尊者像,「不详」,无,[不详],非社邑,庄严修饰、,妆銮彩绘,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],重妆,佛教,无法判定,
228,大钟寺第 45 号像造像记,北宋,960-1127,重庆市大足区金山镇六合村大坝大钟寺第 45 号像,大钟寺第 45 号像,「不详」,[不详],罗汉像,「不详」,无,[不详],非社邑,庄严修饰、,妆銮彩绘,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],重妆,佛教,无法判定,
229,皇泽寺九十四人造像记,唐贞观时期,627-649,四川省广元市利州区皇泽寺写心经洞区第 12 窟,皇泽寺写心经洞区第 12 窟,94,未知（题记模糊）,菩提树叶、兽吐莲茎、覆莲座、二狮、礼佛图（含小沙弥、男女供养人、胡人等）、碑刻小龛造像,九十四人等,无,平民合众,非社邑,造像制作、造像制作、,集体共修、组织营建,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],新造,佛教,无法判定,
230,皇泽寺北平公造像记,唐贞观二载（造像）、宝历二年（修装）,628、826,四川省广元市利州区皇泽寺写心经洞区第 13 窟,皇泽寺写心经洞区第 13 窟,1,男,释迦如来像、诸圣贤、二弟子、二菩萨、二天王、二力士、二立狮、双树、天龙八部两身、六壶门伎乐、阿修罗一身,杨夫口、北平公、众信士,郡武都督、太守、信士,混合群体(在职官员、普通百姓),非社邑,寺院建设、庄严修饰、,建寺创殿、重装修饰,信息不详,信息不详,修复缮完,重修古迹,事件未提,[不详],新造 + 重修,佛教,无法判定,另有版本
231,皇泽寺第 13 窟造像记,唐贞观时期（造像）、乾德五年（补刻 / 修装）,627-649、967,四川省广元市利州区皇泽寺写心经洞区第 13 窟,皇泽寺写心经洞区第 13 窟,「不详」,[不详],一佛、二弟子、二菩萨、二天王、二力士、二立狮、双树、天龙八部三身、六壶门伎乐、阿修罗一身,「不详」,信士,平民合众,非社邑,庄严修饰、,重装修饰,信息不详,信息不详,修复缮完,重修古迹,事件未提,[不详],新造 + 重修,佛教,无法判定,
232,皇泽寺崔峄造像记,北宋庆历六年（1046 年，丙戌岁）,1046,四川省广元市利州区皇泽寺大佛楼区第 45 窟,皇泽寺大佛楼区第 45 窟,2,2 男,佛像,崔峄、郭咨,本路转运使、知军州事,在职官员,非社邑,造像制作、纪念庆赞、,发心造像、立碑题铭,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],新造,佛教,无法判定,
233,皇泽寺柳仲舒造像记,北宋庆历六年（1046 年，丙戌岁）,1046,四川省广元市利州区皇泽寺大佛楼区第 45 窟,皇泽寺大佛楼区第 45 窟,3,3 男,佛像,柳仲舒、令初、金志文,小笔、表白僧、勾当监作知客,混合群体(虔诚弟子、商贾匠人、僧尼个体),非社邑,庄严修饰、纪念庆赞、,重装修饰、庆讫记功,信息不详,信息不详,修复缮完,重修古迹,[不详],事件未提,重妆,佛教,无法判定,
234,皇泽寺李敬思造像记,唐,618-907,四川省广元市利州区皇泽寺写心经洞区第 53 龛,皇泽寺写心经洞区第 53 龛,1,男,小沙弥立像、菩萨立像,李敬思,佛弟子,虔诚弟子,非社邑,造像制作、,发心造像,超度往生,往生净土,超度荐亡,亡亲超荐,家庭变故(亡母□氏),[不详],新造,佛教,无法判定,
235,南龛石窟001 龛严武造像记,唐乾元三年（760 年）,760,四川省巴中市巴州区城南南龛山南龛石窟 001 龛,南龛石窟 001 龛,1,男,古佛龛五百余铺造像（前佛、后佛、大身小身等）、屋宇、洪钟,严武、众信士,山南西道度支判官、卫尉少卿兼侍御史内供奉,在职官员,非社邑,寺院建设、造像制作、寺院建设、,建寺创殿、复新重修、置产供用,国邦安宁,国运太平,修复缮完,重修古迹、弘法传教,事件未提,[不详],重修 + 新造(屋宇),佛教,无法判定,另有版本
236,南龛石窟杨概造像记,南宋淳熙元年（1174 年）,1174,四川省巴中市巴州区城南南龛山南龛石窟 010 龛,南龛石窟 010 龛,3,男,观音菩萨像,杨概、孙真、郑春阳,巴南守、石匠作头、刻字民,混合群体(在职官员、商贾匠人),非社邑,造像制作、纪念庆赞、,发心造像、立碑题铭,信息不详,信息不详,报恩酬德,报父母恩,家庭变故(先考朝请忌日),[不详],新造,佛教,观音体系,
237,南龛石窟 016 龛造像记,唐咸通年间,860-874,四川省巴中市巴州区城南南龛山南龛石窟神仙坡南段 016 龛,南龛石窟神仙坡南段 016 龛,「不详」,[不详],六臂如意轮观音、二天王,「不详」,信士,虔诚弟子,非社邑,庄严修饰、,妆銮彩绘,信息不详,信息不详,修复缮完,修复圣像 (装彩),事件未提,[不详],重妆,佛教,"密教,观音体系",
238,南龛石窟053 龛杨氏二娘造像记,盛唐（造像）、南宋绍兴丙子年（1156 年，装彩）,618-755、1156,四川省巴中市巴州区城南南龛山南龛石窟神仙坡北段 053 龛,南龛石窟神仙坡北段 053 龛,2,2 女,一佛、二弟子、二菩萨、二天王、二力士、二供养菩萨、天龙八部,杨氏二娘、男□□、新妇牟氏二娘,奉佛女弟子、眷属,虔诚弟子(家庭合署),非社邑,庄严修饰、供养施舍、纪念庆赞、,重装修饰、看经念诵、设斋表赞,超度往生,往生净土,修复缮完,修复圣像 (装彩),家庭变故(故夫□进、亡袖儿),[不详],重妆,佛教,无法判定,
239,南龛石窟汝霖造像记,盛唐（造像）、北宋元祐三年（1088 年，装彩）,618-755、1088,四川省巴中市巴州区城南南龛山南龛石窟神仙坡北段 053 龛,南龛石窟神仙坡北段 053 龛,5,5 男,一佛、二弟子、二菩萨、二天王、二力士、二供养菩萨、天龙八部,汝霖、沈伯龙、时亨、任泽民,奉佛弟子,虔诚弟子,非社邑,庄严修饰、,妆銮彩绘,信息不详,信息不详,修复缮完,修复圣像 (装彩),事件未提,[不详],重妆,佛教,无法判定,
240,南龛石窟054 龛杨氏二娘造像记,盛唐（造像）、南宋绍兴丙子年（1156 年，装彩）,618-755、1156,四川省巴中市巴州区城南南龛山南龛石窟神仙坡北段 054 龛,南龛石窟神仙坡北段 054 龛,2,2 女,一佛、二弟子、二菩萨、二力士,杨氏二娘、男□□、新妇牟氏二娘,奉佛女弟子、眷属,虔诚弟子(家庭合署),非社邑,庄严修饰、纪念庆赞、,重装修饰、设斋表赞,超度往生,往生净土,超度荐亡,亡亲超荐、修复缮完,家庭变故(故夫□进、亡□),[不详],重妆,佛教,无法判定,
241,南龛石窟 056 龛造像记,唐中和元年（881 年）,881,四川省巴中市巴州区城南南龛山南龛石窟神仙坡北段 056 龛,南龛石窟神仙坡北段 056 龛,「不详」,[不详],菩萨像,「不详」,无,[不详],非社邑,信息不详、,信息不详,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],新造,佛教,无法判定,另有版本
242,南龛石窟李修仲造像记,南宋建炎年间（1127—1130 年）,1127-1130,四川省巴中市巴州区城南南龛山南龛石窟神仙坡北段 059 龛,南龛石窟神仙坡北段 059 龛,3,男,菩萨像,李修仲、□绍隆、赵工□,奉佛弟子,虔诚弟子,非社邑,游观题咏、,游观题名,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],新造,佛教,无法判定,
243,南龛石窟杨一山造像记,唐天复四年（904 年）,904,四川省巴中市巴州区城南南龛山南龛石窟神仙坡北段 062 龛,南龛石窟神仙坡北段 062 龛,3,3 男,一佛、二菩萨、五十二尊听法菩萨、二力士、二供养人、一飞天,杨一山、王保晦、□宋□官、杨彦六,无,平民合众,非社邑,信息不详、,信息不详,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],新造,佛教,无法判定,另有版本
244,南龛石窟李朝兴造像记,盛唐,618-755,四川省巴中市巴州区城南南龛山南龛石窟神仙坡北段 064 龛,南龛石窟神仙坡北段 064 龛,1,男,三佛、五弟子、五菩萨、二力士,李朝兴,清信弟子,虔诚弟子,非社邑,造像制作、造像制作、,发心造像、镌刻雕造,修证悟道,觉悟成佛,信息不详,信息不详,事件未提,[不详],新造,佛教,无法判定,
245,南龛石窟赵荐凡造像记,唐乾符四年（877 年）,877,四川省巴中市巴州区城南南龛山南龛石窟神仙坡北段 065 龛,南龛石窟神仙坡北段 065 龛,1,男,毗沙门天王像,赵荐凡,朝散郎守化成县令,在职官员,非社邑,造像制作、造像制作、纪念庆赞、,发心造像、镌刻雕造、设斋表赞,现世福报,消灾免难 (为自身疾苦),祈福禳灾,祛病安康,事件未提(个人疾苦不纳入历史事件),[不详],新造,佛教,密教,另有版本、浴佛节
246,南龛石窟周佐造像记,中唐,756-835,四川省巴中市巴州区城南南龛山南龛石窟神仙坡北段 067 龛,南龛石窟神仙坡北段 067 龛,至少1人,至少1男,一佛、二弟子、二菩萨、二天王、二力士、二狮,周佐、合宅,在城摄本州助教、眷属,在职官员(家庭合署),非社邑,庄严修饰、,妆銮彩绘,现世福报,子嗣昌盛 (后裔昌隆),祈福禳灾,家族昌盛,事件未提,[不详],重妆,佛教,无法判定,
247,南龛石窟 067 龛造像记,南宋绍兴年间,1131-1162,四川省巴中市巴州区城南南龛山南龛石窟神仙坡北段 067 龛,南龛石窟神仙坡北段 067 龛,「不详」,[不详],一佛、二弟子、二菩萨、二天王、二力士、二狮,「不详」,信士,平民合众,非社邑,庄严修饰、,妆銮彩绘,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],重妆,佛教,无法判定,
248,南龛石窟 068 龛李保寿造像记,唐文德元年（888 年）,888,四川省巴中市巴州区城南南龛山南龛石窟神仙坡北段 068 龛,南龛石窟神仙坡北段 068 龛,1,男,鬼子母像,李保寿,供养人,虔诚弟子,非社邑,供养施舍、,设斋供养,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],新造,佛教,密教,
249,南龛石窟 068 龛李思弘造像记,盛唐,618-755,四川省巴中市巴州区城南南龛山南龛石窟神仙坡北段 068 龛,南龛石窟神仙坡北段 068 龛,1,男,不详,李思弘,供养人,在职官员,非社邑,供养施舍、,设斋供养,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],新造,佛教,无法判定,
250,南龛石窟杨俊造像记,南宋绍兴年间（1131—1162 年）,1131-1162,四川省巴中市巴州区城南南龛山南龛石窟神仙坡北段 068 龛,南龛石窟神仙坡北段 068 龛,2,1男、1女,□金圣母像,杨俊夫妇,奉佛弟子,虔诚弟子(家庭合署),非社邑,庄严修饰、,重装修饰,信息不详,信息不详,修复缮完,修复圣像 (装彩),事件未提,[不详],重妆,二教混合（佛道）,无法判定,
251,南龛石窟党守业造像记,唐开元二十八年（740 年）,740,四川省巴中市巴州区城南南龛山南龛石窟神仙坡北段 069 龛,南龛石窟神仙坡北段 069 龛,1,男,释迦牟尼像,党守业,前乡贡明经、化城县尉,在职官员,非社邑,造像制作、纪念庆赞、,发心造像、设斋表赞,超度往生,往生净土 (早生净土),超度荐亡,亡亲超荐,家庭变故(亡考妣),[不详],新造,佛教,无法判定,
252,南龛石窟 070 龛李思弘造像记,唐文德元年（888 年）,888,四川省巴中市巴州区城南南龛山南龛石窟神仙坡北段 070 龛,南龛石窟神仙坡北段 070 龛,1,男,不详,李思弘,同节度十将、军事押衙等,在职官员,非社邑,造像制作、,复新重修,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],重妆,佛教,无法判定,
253,南龛石窟张令该造像记,唐开元二十八年（740 年）,740,四川省巴中市巴州区城南南龛山南龛石窟神仙坡北段 071 龛,南龛石窟神仙坡北段 071 龛,1,男,释迦牟尼佛,张令该,给事郎行化城县主簿,在职官员,非社邑,造像制作、造像制作、庄严修饰、,发心造像、镌刻雕造、妆銮彩绘,现世福报,消灾免难 (永无灾厄),祈福禳灾,消灾免难、家族昌盛,地方暴力(屡逢凶贼),[不详],新造,佛教,无法判定,另有版本
254,南龛石窟 072 龛李思弘造像记,唐文德元年（888 年）,888,四川省巴中市巴州区城南南龛山南龛石窟神仙坡北段 072 龛,南龛石窟神仙坡北段 072 龛,1,男,二菩萨,李思弘,同节度十将、军事押衙等,在职官员,非社邑,造像制作、,复新重修,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],重妆,佛教,无法判定,
255,南龛石窟 073 龛李思弘造像记,唐文德元年（888 年）,888,四川省巴中市巴州区城南南龛山南龛石窟神仙坡北段 073 龛,南龛石窟神仙坡北段 073 龛,1,男,五尊坐佛,李思弘,同节度十将、军事押衙等,在职官员,非社邑,庄严修饰、,妆銮彩绘,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],重妆,佛教,无法判定,
256,南龛石窟王运使造像记,南宋绍兴二十六年（1156 年）,1156,四川省巴中市巴州区城南南龛山南龛石窟神仙坡北段 073 龛,南龛石窟神仙坡北段 073 龛,1,男,五尊坐佛,王运使宅、绍迁,运使、知事僧,混合群体(在职官员、僧尼个体),非社邑,庄严修饰、,重装修饰,信息不详,信息不详,修复缮完,修复圣像 (装彩),事件未提,[不详],重妆,佛教,无法判定,清明节
257,南龛石窟 074 龛李思弘造像记-1,唐,618-907,四川省巴中市巴州区城南南龛山南龛石窟神仙坡北段 074 龛,南龛石窟神仙坡北段 074 龛,1,男,一佛二弟子二菩萨、二天王二力士、三供养人、鬼子母像,李思弘,同节度十将、军事押衙等,在职官员,非社邑,造像制作、,复新重修,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],重妆,佛教,无法判定,
258,南龛石窟 074 龛李思弘造像记-2,唐文德元年（888 年）,888,四川省巴中市巴州区城南南龛山南龛石窟神仙坡北段 074 龛,南龛石窟神仙坡北段 074 龛,2,2 男,一佛二弟子二菩萨、二天王二力士、三供养人、鬼子母像,李思弘,同节度十将、军事押衙等,在职官员,非社邑,庄严修饰、,妆銮彩绘,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],重妆,佛教,密教,
259,南龛石窟 076 龛李思弘造像记,唐,618-907,四川省巴中市巴州区城南南龛山南龛石窟神仙坡北段 076 龛,南龛石窟神仙坡北段 076 龛,1,男,一佛二弟子,李思弘,同节度十将、军事押衙等,在职官员,非社邑,造像制作、,发心造像,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],重妆,佛教,无法判定,
260,南龛石窟李保寿造像记,唐文德元年（888 年）,888,四川省巴中市巴州区城南南龛山南龛石窟神仙坡北段 076 龛,南龛石窟神仙坡北段 076 龛,1,男,一佛二弟子,李保寿,供养人,虔诚弟子,非社邑,供养施舍、,设斋供养,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],新造,佛教,无法判定,
261,南龛石窟 077龛李思弘造像记,唐光启三年（887 年）,887,四川省巴中市巴州区城南南龛山南龛石窟神仙坡北段 077 龛,南龛石窟神仙坡北段 077 龛,1,男,西方变相、释迦佛、千佛子、阿弥陀佛、救苦观音菩萨、阿难迦叶、地藏菩萨、鬼子母,李思弘,同节度十将、巴州军事押衙等,在职官员,社邑,庄严修饰、纪念庆赞、纪念庆赞、,重装修饰、设斋表赞、庆讫记功,现世福报,福寿康宁 (仕宦高迁，阖家康健),修复缮完,修复圣像 (装彩)、祈福禳灾,事件未提,[不详],重妆,佛教,净土；密教,另有版本
262,南龛石窟刘安造像记,南宋绍兴丙子年（1156 年）,1156,四川省巴中市巴州区城南南龛山南龛石窟神仙坡北段 077 龛,南龛石窟神仙坡北段 077 龛,2,1 男、1 女,一佛二弟子二菩萨、二天王二力士、二飞天、二供养人,刘安妻张氏、男刘全,指挥部辖军员眷属,在职官员(家庭合署),非社邑,庄严修饰、供养施舍、纪念庆赞、,重装修饰、看经念诵、设斋表赞,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],重妆,佛教,无法判定,
263,南龛石窟李思弘李保寿造像记,唐,618-907,四川省巴中市巴州区城南南龛山南龛石窟神仙坡北段 078 龛,南龛石窟神仙坡北段 078 龛,2,2 男,一佛二胁侍菩萨、四十七尊听法菩萨、华盖两侧四佛二菩萨、两供养人、二力士、二飞天,李思弘、李保寿,同节度十将、供养人,混合群体(在职官员、虔诚弟子),非社邑,供养施舍、,设斋供养,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],新造,佛教,无法判定,
264,南龛石窟 078 龛李思弘造像记,唐,618-907,四川省巴中市巴州区城南南龛山南龛石窟神仙坡北段 078 龛,南龛石窟神仙坡北段 078 龛,1,男,一佛二胁侍菩萨、四十七尊听法菩萨、华盖两侧四佛二菩萨、两供养人、二力士、二飞天,李思弘,同节度十将、军事押衙等,在职官员,非社邑,造像制作、,发心造像,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],重妆,佛教,无法判定,
265,南龛石窟罗彦造像记,南宋绍兴乙卯年（1135 年）,1135,四川省巴中市巴州区城南南龛山南龛石窟神仙坡北段 078 龛,南龛石窟神仙坡北段 078 龛,2,1 女、2 男,不详,罗彦夫妇、成春,本州散从官、眷属,在职官员(家庭合署),非社邑,庄严修饰、纪念庆赞、,妆銮彩绘、设斋表赞,现世福报,福寿康宁 (增延福寿),超度荐亡,亡亲超荐、修复缮完,家庭变故(为妣冯氏),[不详],重妆,佛教,无法判定,
266,南龛石窟 079 龛李思弘造像记,唐,618-907,四川省巴中市巴州区城南南龛山南龛石窟神仙坡北段 079 龛,南龛石窟神仙坡北段 079 龛,1,男,不详,李思弘,同节度十将、军事押衙等,在职官员,非社邑,造像制作、,复新重修,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],重妆,佛教,无法判定,
267,南龛石窟赵造像记,唐乾元二年（759 年）,759,四川省巴中市巴州区城南南龛山南龛石窟神仙坡北段 080 龛,南龛石窟神仙坡北段 080 龛,1,未知（题记模糊）,观音菩萨、地藏菩萨、弟子像,赵□□,无,虔诚弟子,非社邑,纪念庆赞、,立碑题铭,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],新造,佛教,观音体系；地藏体系,
268,南龛石窟 080 龛李思弘造像记,唐,618-907,四川省巴中市巴州区城南南龛山南龛石窟神仙坡北段 080 龛,南龛石窟神仙坡北段 080 龛,1,男,观音菩萨、地藏菩萨、弟子像,李思弘,同节度十将、军事押衙等,在职官员,非社邑,庄严修饰、,妆銮彩绘,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],重妆,佛教,无法判定,
269,南龛石窟 080 龛李保寿造像记,唐,618-907,四川省巴中市巴州区城南南龛山南龛石窟神仙坡北段 080 龛,南龛石窟神仙坡北段 080 龛,1,男,观音菩萨、地藏菩萨、弟子像,李保寿,供养人,虔诚弟子,非社邑,供养施舍、,设斋供养,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],新造,佛教,无法判定,
270,南龛石窟 081 龛李保寿造像记,唐,618-907,四川省巴中市巴州区城南南龛山南龛石窟神仙坡北段 081 龛,南龛石窟神仙坡北段 081 龛,1,2 男,不详,李思弘男保寿,供养人,虔诚弟子,非社邑,供养施舍、,设斋供养,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],新造,佛教,无法判定,
271,南龛石窟闫寿造像记,盛唐,618-755,四川省巴中市巴州区城南南龛山南龛石窟神仙坡北段 082 龛,南龛石窟神仙坡北段 082 龛,至少2人,至少1男、1女,一佛二弟子二菩萨、二天王二力士,闫寿、刘氏、合家,善信、眷属,虔诚弟子(家庭合署),非社邑,造像制作、,集体共修,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],新造,佛教,无法判定,
272,南龛石窟 083 龛造像记,唐开元年间,713-741,四川省巴中市巴州区城南南龛山南龛石窟神仙坡北段 083 龛,南龛石窟神仙坡北段 083 龛,「不详」,[不详],三尊佛像、供养人,「不详」,善信,平民合众,非社邑,造像制作、,发心造像,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],新造,佛教,无法判定,
273,南龛石窟087 龛严武造像记,唐乾元二年（759 年）,759,四川省巴中市巴州区城南南龛山南龛石窟神仙坡北段 087 龛,南龛石窟神仙坡北段 087 龛,1,2 男,救苦观音菩萨像,严武,巴州刺史,在职官员,非社邑,造像制作、造像制作、纪念庆赞、,发心造像、镌刻雕造、立碑题铭,信息不详,信息不详,报恩酬德,报父母恩,家庭变故(烈考中书侍郎),[不详],新造,佛教,观音体系,另有版本
274,南龛石窟杨粹造像记,北宋绍圣三年（1096 年）,1096,四川省巴中市巴州区城南南龛山南龛石窟神仙坡北段 087 龛,南龛石窟神仙坡北段 087 龛,1,男,救苦观音菩萨像,杨粹,朝奉郎知□州直管内劝农事、云骑尉等,在职官员,非社邑,庄严修饰、供养施舍、,重装修饰、施财舍物,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],重妆,佛教,观音体系,
275,南龛石窟 089 龛造像记,唐天宝十年（751 年）,751,四川省巴中市巴州区城南南龛山南龛石窟神仙坡北段 089 龛,南龛石窟神仙坡北段 089 龛,「不详」,[不详],经幢（含天王、力士、菩萨、飞天等）,「不详」,善信,平民合众,非社邑,造像制作、造像制作、,造塔建幢、镌刻雕造,信息不详,信息不详,信息不详,信息不详,事件未提,佛顶尊胜陀罗尼,新造,佛教,密教,
276,南龛石窟赵行同造像记,唐乾符四年（877 年）,877,四川省巴中市巴州区城南南龛山南龛石窟神仙坡北段 103 龛,南龛石窟 103 龛,1,男,毗卢遮那佛,赵行同、□辛酉,镌石人,商贾匠人,非社邑,造像制作、纪念庆赞、,镌刻雕造、立碑题铭,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],新造,佛教,华严,
277,南龛石窟净清金雁龙造像记,不详,不详,四川省巴中市巴州区城南南龛山南龛石窟神仙坡北段 103 龛,南龛石窟 103 龛,5,5男,毗卢佛、金刚、一佛二力士二供养小人、一飞天,净清、金雁龙、黄□□、徐鸣等,奉佛弟子、眷属,虔诚弟子,非社邑,寺院建设、庄严修饰、,建寺创殿、重装修饰,信息不详,信息不详,修复缮完,重修古迹、修复圣像 (重装),事件未提,[不详],重妆,佛教,华严；密教,
278,南龛石窟净清余辛造像记,不详,不详,四川省巴中市巴州区城南南龛山南龛石窟神仙坡北段 103 龛,南龛石窟 103 龛,8,7男、1 女,毗卢佛、金刚、一佛二力士二供养小人、一飞天,净清、余辛、辛世华、辛瑞真等,奉佛弟子、眷属,虔诚弟子(家庭合署),非社邑,寺院建设、庄严修饰、,建寺创殿、重装修饰,信息不详,信息不详,修复缮完,重修古迹,事件未提,[不详],重妆,佛教,华严；密教,
279,南龛石窟杨仙造像记,唐咸通年间,860-874,四川省巴中市巴州区城南南龛山南龛石窟神仙坡北段 106 龛,南龛石窟 106 龛,至少1人,至少1男,药师佛、释迦牟尼佛、阿难、迦叶、观音、势至、二金刚,杨仙等、尹使君,佛弟子、使君,混合群体(在职官员、普通百姓),非社邑,造像制作、造像制作、,发心造像、镌刻雕造,超度往生,往生极乐 (往生极乐世界),超度荐亡,普度众生、亡亲超荐,事件未提,[不详],新造,佛教,"净土,药师体系",
280,南龛石窟智护造像记,南宋绍熙二年（1191 年）,1191,四川省巴中市巴州区城南南龛山南龛石窟神仙坡南端墓塔区 167 龛,南龛石窟墓塔区 167 龛,1,男,方塔（塔身小龛僧人坐像）,智护上人,报恩南回智护上人,僧尼个体,非社邑,造像制作、,造塔建幢,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],新造,佛教,无法判定,
281,北龛寺 14 龛造像记,初唐（造像）、不详（题记）,618-712、不详,四川省巴中市巴州区城北苏山南麓北龛寺北龛石窟 14 龛,北龛石窟 14 龛,「不详」,[不详],一主尊二弟子、三菩萨、二武士装药叉像、四天龙八部像、二伎乐、二供养人,「不详」,善信,平民合众,非社邑,信息不详、,信息不详,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],新造,佛教,无法判定,
282,西龛石窟郭玄亮造像记,唐开元三年（715 年）,715,四川省巴中市巴州区城西凤谷山西龛村西龛石窟西龛寺后第 10 龛,西龛石窟第 10 龛,2,2 男,菩萨、圣僧、金刚,郭玄亮毗季,奉佛弟子,虔诚弟子,非社邑,造像制作、造像制作、,发心造像、镌刻雕造,超度往生,往生净土 (速登净土),超度荐亡,亡亲超荐,家庭变故(为亡考),[不详],新造,佛教,"净土,弥勒体系",另有版本
283,西龛石窟第 39 龛造像记,盛唐,618-755,四川省巴中市巴州区城西凤谷山西龛村西龛石窟西龛寺后第 39 龛,西龛石窟第 39 龛,「不详」,[不详],弥勒尊佛、迦叶文佛、阿弥陀佛,「不详」,善信,平民合众,非社邑,信息不详、,信息不详,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],新造,佛教,"净土,弥勒体系",
284,水宁寺昙□造像记,盛唐,618-755,四川省巴中市巴州区水宁镇水宁村水宁寺 01 龛,水宁寺 01 龛,1,男,如来、妙觉观音,「不详」、昙□、文曹等,沙门、书文,混合群体(僧尼个体、普通百姓),非社邑,造像制作、,镌刻雕造,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],新造,佛教,"密教,观音体系",
285,水宁寺08 龛造像记,盛唐（造像）、北宋至道三年（997 年，题记）,618-755、997,四川省巴中市巴州区水宁镇水宁村水宁寺 08 龛,水宁寺 08 龛,「不详」,[不详],不详,「不详」,无,[不详],非社邑,信息不详、,信息不详,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],新造,佛教,无法判定,
286,水宁寺归仁造像记,盛唐,618-755,四川省巴中市巴州区水宁镇水宁村水宁寺 09 龛,水宁寺 09 龛,「不详」,未知（题记模糊）,佛龛,「不详」、归仁,弟子、客游,虔诚弟子,非社邑,造像制作、寺院建设、,发心造像、开窟凿洞,信息不详,信息不详,超度荐亡,亡亲超荐、祈福禳灾,事件未提,[不详],新造,佛教,无法判定,
287,龙门山石窟法缘造像记,盛唐（造像）、唐光启戊申年（888 年，装彩）,618-755、888,四川省巴中市巴州区三江镇龙门村五社巴河西岸龙门山石窟 06 龛,龙门山石窟 06 龛,2,2男,释迦佛、弥勒佛,「不详」、法缘、谨瓒,弟子、住持、表白,混合群体(虔诚弟子、僧尼个体),非社邑,庄严修饰、,妆銮彩绘,信息不详,信息不详,修复缮完,修复圣像 (装彩),事件未提,[不详],重妆,佛教,弥勒体系,
288,龙门山石窟邓文造造像记,唐光启三年（887 年）,887,四川省巴中市巴州区三江镇龙门村五社巴河西岸龙门山石窟 07 龛,龙门山石窟 07 龛,1,男,不详,邓文造,弟子,虔诚弟子,非社邑,庄严修饰、,妆銮彩绘,信息不详,信息不详,修复缮完,修复圣像 (装彩),事件未提,[不详],重妆,佛教,无法判定,
289,龙门山石窟08 龛造像记,唐龙纪元年（889 年）,889,四川省巴中市巴州区三江镇龙门村五社巴河西岸龙门山石窟 08 龛,龙门山石窟 08 龛,1,男,不详,「不详」,无,[不详],非社邑,信息不详、,信息不详,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],新造,佛教,无法判定,
290,麻石佛尔崖严从愿造像记,唐开元二十八年（740 年）,740,四川省巴中市城西麻石垭乡一村一社张家湾公路旁麻石佛尔崖 05 龛,麻石佛尔崖 05 龛,至少1人,至少1男,佛龛,严从愿等、邑子,邑人、善信,平民合众,社邑,造像制作、寺院建设、造像制作、,发心造像、开窟凿洞、镌刻雕造,信息不详,信息不详,祈福禳灾,家族昌盛、弘法传教,事件未提,[不详],新造,佛教,无法判定,另有版本
